Cleaned_Dataset,n,mean,median,std,iqr
EHR,43,628859.6052631579,2633,2004196.856501411,63516.25
FAERS,93,4306251.746987952,243510,14602542.367916817,3134268.5
JADER,9,136331.66666666666,33852,184969.07633619916,282323.75
KAERS,12,254293.4,4982,789068.8603549263,6993.5
Literature,11,17200.727272727272,3000,34797.260926949144,14964.5
Other,138,3067200.5317460317,26508,14025930.853406217,259820
Twitter,47,46685102.97674418,14570,304970307.1889526,100183.5
VAERS,30,64363.65517241379,2619,234839.34052458013,13714
WHO,10,365710.85714285716,11144,941166.9009317509,14944
